case_Y5a0YqvFPzcpylJ	The Eastwest bank hasn’t provided ALL information I needed which are urgent and there is no possible way of getting a prompt response from them since their hotlines are not being attended to nor their emails. They said they tried calling me but I never got any call from them and I explicitly told them to send an email with information LINE by LINE for every questions to avoid getting back and forth and also so I don’t need to contact another department which is pretty impossible with their customer service. Here’s my questions left unanswered by them for 6 months!  1. Why my principal balance as of February 25,2021 is 86183.28? My monthly amortization is only around P16300, so for 5months(February to June) it should only be P81500. Why is it P86183.28 then?  2. What is the late payment charges for? I have the receipts that I've on time except for that one time I forgot because it was due 1 year later but I already made the payment for that.Bayanihan also says that there should be no late payment charges, therefore, this is not for the 2 months I didn’t pay. What is this late payment for then?  3. Until when do I need to pay monthly amortization? I think my maturity date is June 26,2021 because of the Bayanihan.   4. I have already paid my amortization for May and June today. I don’t know how long will it reflect in your system. How much more do I have to pay after these 2 payments? Send my updated SOA considering that you have received my payments for May and June.  5. Once I have paid the balance in SOA, how will i know if I still have remaining balance?  6. I have continued insurance on my car, why do I have a penalty?  Please read everything and provide the information for everything that is highlighted in red.
case_8bMUMmkxc9oqnTC	PAYMAYA\n\nreklamo ko lang po yung Paymaya ko today is blinock nila. may laman na monthly allowance for my family.\nma help nyo po sana ko para mkipag ugnayan sa paymaya dahil mabagal po action nila.\n\nPaymaya Number : 09773490303\nNAME : Irish Ramirez\nCurrent Balance : 35,754.54
case_WaZZ673TmcshbS6	BDO cancelled my credit card! I am sooo angry!@#!!
case_jgJ8FF8UrDqNTof	Foreign transaction from foreign entity to Metrobank, not processed.
case_RXPlHmfijbvYwVw	I got scammed through online banking. Scammer is using Unionbank
case_Yff03MYkZV4hwG9	Eastwest bank credit card delivery issue, till now di nila mahanap bahay namin for the delivery
case_YF44Dqg5Be9ws6M	My savings account in BDO Calamba Crossing North Branch was set off or was gone due to my financial obligation in credit card. Said amount is 249 thousand. Nakapag email na aq sa kanila asking for a refund pero hindi nila na grant ung request q.
case_9F8igVGwQSHziR4	I was charged in my credit card by BPI a transaction i did not purchased online. I have already reported at the bank that someone might be using my account on online transaction and requested to terminate my account to avoid additional charges but until now i have been receiving billing statements
case_zYztoAqknc6fMD8	Got approved for Metrobank credit card last month, I received sms last April 30 that the delivery of my card was unsuccessful asking me to call them and give landmark and contact number which I did. Called them again last monday to make sure that they have provided my info with the courier but I received another notification regarding failed delivery today.
case_9C3EiSESntJkrU7	Eastwestbank - they have not settled my issue since last year and they ask me to go to main branch to help settle it, when I get to main branch they ask me to talk over the phone
case_gOf6ivyEzyM1PIS	Hello po good day ako po si Noel Deplomo nasa tamang taong gulang, nais ko lang po humingi ng tulong sa inyong kagawaran dahil sa nangyayare po na ginagawa ni china bank savings sa aming car loan ay sobra sobra po ang kanilang kinakaltas batay sa aming nakapag kasunduan at nilagdaan meron po akong mga dokumento sa aming napagkasunduang buwanang bayad nais ko po sanang irefund nila ang sobrang kaltas nila sa amin sana po ay matulongan nyo ako sa concern ko maraming salamat po.
case_1ng7JbWRvSJ0F12	This is regarding to our Car loan in Security Bank, we always received calls from their collection department that we have dues and penalties to settle. We're in we always paying our monthly amortization on time. We have all complete proof that we are paying our bills on time.
case_gkf9JembLDaiJf5	Eastwest bank charged me with penalty for late payment despite my very timely payment
case_F0X6Ef9skzt0Bjf	I called RCBC with regards to my concern of house loan last 31st of March (Reference number: KGV-03312110). \nI called back this 3rd of May to ask what happened to my concern, they said to wait for 1-2 banking days. However up to now 6th of May, I didn’t received any feedback from them.\nThe following documents were requested:\nTitle Correction \nDeed of Sale Assumption Mortgage (Terms and Condition)\nPayment History \nStatement of Account
case_OFxpPVH3IAiMM83	I transferred 300 US $ to my pnb dollar account last April 29. Until now. Its not reflected in my pnb account. Why?
